Site Outdoor Air Drybulb Temperature(Environment),Site Outdoor Air Relative Humidity(Environment),Site Wind Speed(Environment),Site Direct Solar Radiation Rate per Area(Environment),Zone People Occupant Count(SPACE1-1),Zone Air Temperature(SPACE1-1),Zone Thermostat Heating Setpoint Temperature(SPACE1-1),Zone Thermostat Cooling Setpoint Temperature(SPACE1-1)
-8.9,40.0,3.6,274.0,11.0,21.099989,21.1,23.9
-8.75,39.0,2.7,317.0,11.0,21.09982,21.1,23.9
-8.6,38.0,1.8,360.0,11.0,21.24516,21.1,23.9
-8.45,37.0,0.9,399.75,11.0,21.606562,21.1,23.9
-8.3,36.0,0.0,439.5,11.0,22.078733,21.1,23.9
-8.025,36.25,0.65,479.25,8.8,22.536446,21.1,23.9
-7.75,36.5,1.3,519.0,8.8,22.99654,21.1,23.9
-7.475,36.75,1.95,459.5,8.8,23.358261,21.1,23.9
-7.2,37.0,2.6,400.0,8.8,23.58064,21.1,23.9
-6.925,36.5,2.6,340.5,4.4,23.746267,21.1,23.9
-6.65,36.0,2.6,281.0,4.4,23.892303,21.1,23.9
-6.375,35.5,2.6,240.25,4.4,23.899477,21.1,23.9
-6.1,35.0,2.6,199.5,4.4,23.878252,21.1,23.9
-6.1,35.0,2.475,158.75,8.8,23.77122,21.1,23.9
-6.1,35.0,2.35,118.0,8.8,23.615685,21.1,23.9
-6.1,35.0,2.225,88.5,8.8,23.367634,21.1,23.9
-6.1,35.0,2.1,59.0,8.8,23.07159,21.1,23.9
-6.1,34.5,2.1,29.5,11.0,22.733906,21.1,23.9
-6.1,34.0,2.1,0.0,11.0,22.228643,21.1,23.9
-6.1,33.5,2.1,21.75,11.0,21.985598,21.1,23.9
-6.1,33.0,2.1,43.5,11.0,21.944088,21.1,23.9
-6.1,33.5,1.95,65.25,11.0,21.997429,21.1,23.9
-6.1,34.0,1.8,87.0,11.0,22.114294,21.1,23.9
-6.1,34.5,1.65,70.75,11.0,22.110516,21.1,23.9
-6.1,35.0,1.5,54.5,11.0,21.991747,21.1,23.9
-5.975,34.25,1.775,38.25,11.0,21.675089,21.1,23.9
-5.85,33.5,2.05,22.0,11.0,21.293198,21.1,23.9
-5.725,32.75,2.325,0.0,11.0,21.120245,21.1,23.9
-5.6,32.0,2.6,0.0,11.0,21.103107,21.1,23.9
-5.45,30.5,2.85,0.0,11.0,21.100513,21.1,23.9
-5.3,29.0,3.1,0.0,11.0,21.100172,21.1,23.9
-5.15,27.5,3.35,0.0,11.0,21.100159,21.1,23.9
-5.0,26.0,3.6,0.0,11.0,21.100218,21.1,23.9
-5.0,26.25,3.475,0.0,5.5,20.983288,12.8,40.0
-5.0,26.5,3.35,0.0,5.5,20.794226,12.8,40.0
-5.0,26.75,3.225,0.0,5.5,20.629683,12.8,40.0
-5.0,27.0,3.1,0.0,5.5,20.50416,12.8,40.0
-4.85,26.75,3.35,0.0,1.1,20.130802,12.8,40.0
-4.7,26.5,3.6,0.0,1.1,19.707203,12.8,40.0
-4.55,26.25,3.85,0.0,1.1,19.403362,12.8,40.0
-4.4,26.0,4.1,0.0,1.1,19.1521,12.8,40.0
-4.4,26.75,4.5,0.0,1.1,18.831396,12.8,40.0
-4.4,27.5,4.9,0.0,1.1,18.470463,12.8,40.0
-4.4,28.25,5.3,0.0,1.1,18.22395,12.8,40.0
-4.4,29.0,5.7,0.0,1.1,17.987263,12.8,40.0
-4.4,29.0,5.425,0.0,0.0,17.736622,12.8,40.0
-4.4,29.0,5.15,0.0,0.0,17.412252,12.8,40.0
-4.4,29.0,4.875,0.0,0.0,17.16569,12.8,40.0
-4.4,29.0,4.6,0.0,0.0,16.979818,12.8,40.0
-4.4,29.25,4.475,0.0,0.0,16.802979,12.8,40.0
-4.4,29.5,4.35,0.0,0.0,16.628736,12.8,40.0
-4.4,29.75,4.225,0.0,0.0,16.462103,12.8,40.0
-4.4,30.0,4.1,0.0,0.0,16.304157,12.8,40.0
-4.275,31.25,4.625,0.0,0.0,16.148016,12.8,40.0
-4.15,32.5,5.15,0.0,0.0,15.994709,12.8,40.0
-4.025,33.75,5.675,0.0,0.0,15.846483,12.8,40.0
-3.9,35.0,6.2,0.0,0.0,15.736483,12.8,40.0
-3.9,37.75,6.45,0.0,0.0,15.646735,12.8,40.0
-3.9,40.5,6.7,0.0,0.0,15.5664215,12.8,40.0
-3.9,43.25,6.95,0.0,0.0,15.493551,12.8,40.0
-3.9,46.0,7.2,0.0,0.0,15.427759,12.8,40.0
-3.625,50.0,6.95,0.0,0.0,15.381051,12.8,40.0
-3.35,54.0,6.7,0.0,0.0,15.349838,12.8,40.0
-3.075,58.0,6.45,0.0,0.0,15.328791,12.8,40.0
-2.8,62.0,6.2,0.0,0.0,15.315662,12.8,40.0
-2.375,64.5,6.075,0.0,0.0,15.311405,12.8,40.0
-1.95,67.0,5.95,0.0,0.0,15.314742,12.8,40.0
-1.525,69.5,5.825,0.0,0.0,15.324346,12.8,40.0
-1.1,72.0,5.7,0.0,0.0,15.339472,12.8,40.0
-0.275,75.25,6.975,0.0,0.0,15.3541355,12.8,40.0
0.55,78.5,8.25,0.0,0.0,15.371512,12.8,40.0
1.375,81.75,9.525,0.0,0.0,15.394691,12.8,40.0
2.2,85.0,10.8,0.0,0.0,15.42496,12.8,40.0
2.625,82.75,11.2,0.0,0.0,15.457832,12.8,40.0
3.05,80.5,11.6,0.0,0.0,15.492463,12.8,40.0
3.475,78.25,12.0,0.0,0.0,15.529345,12.8,40.0
3.9,76.0,12.4,0.0,0.0,15.568583,12.8,40.0
3.925,80.25,12.125,0.0,0.0,15.603465,12.8,40.0
3.95,84.5,11.85,0.0,0.0,15.634946,12.8,40.0
3.975,88.75,11.575,0.0,0.0,15.664533,12.8,40.0
4.0,93.0,11.3,0.0,0.0,15.692719,12.8,40.0
4.4,92.75,11.575,0.0,0.0,15.593993,12.8,40.0
