Site Outdoor Air Drybulb Temperature(Environment),Site Outdoor Air Relative Humidity(Environment),Site Wind Speed(Environment),Site Direct Solar Radiation Rate per Area(Environment),Zone People Occupant Count(SPACE1-1),Zone Air Temperature(SPACE1-1),Zone Thermostat Heating Setpoint Temperature(SPACE1-1),Zone Thermostat Cooling Setpoint Temperature(SPACE1-1)
1.5,86.5,1.05,276.0,11.0,21.210957,21.1,23.9
1.75,83.25,1.575,293.75,11.0,21.462257,21.1,23.9
2.0,80.0,2.1,311.5,11.0,21.833523,21.1,23.9
2.25,81.75,1.575,329.25,11.0,22.20561,21.1,23.9
2.5,83.5,1.05,347.0,11.0,22.740225,21.1,23.9
2.75,85.25,0.525,329.75,11.0,23.17158,21.1,23.9
3.0,87.0,0.0,312.5,11.0,23.587753,21.1,23.9
3.175,85.25,0.65,295.25,8.8,23.87039,21.1,23.9
3.35,83.5,1.3,278.0,8.8,24.039337,21.1,23.9
3.525,81.75,1.95,238.75,8.8,24.18058,21.1,23.9
3.7,80.0,2.6,199.5,8.8,24.24666,21.1,23.9
3.775,78.75,2.6,160.25,4.4,24.096725,21.1,23.9
3.85,77.5,2.6,121.0,4.4,23.986712,21.1,23.9
3.925,76.25,2.6,123.75,4.4,23.982979,21.1,23.9
4.0,75.0,2.6,126.5,4.4,24.027475,21.1,23.9
4.0,76.5,2.325,129.25,8.8,24.268808,21.1,23.9
4.0,78.0,2.05,132.0,8.8,24.478298,21.1,23.9
4.0,79.5,1.775,131.25,8.8,24.629747,21.1,23.9
4.0,81.0,1.5,130.5,8.8,24.76696,21.1,23.9
4.0,79.5,1.775,129.75,11.0,24.942633,21.1,23.9
4.0,78.0,2.05,129.0,11.0,25.111513,21.1,23.9
4.0,76.5,2.325,151.0,11.0,25.335957,21.1,23.9
4.0,75.0,2.6,173.0,11.0,25.626291,21.1,23.9
4.0,75.0,1.95,195.0,11.0,25.921848,21.1,23.9
4.0,75.0,1.3,217.0,11.0,26.417725,21.1,23.9
4.0,75.0,0.65,173.25,11.0,26.593575,21.1,23.9
4.0,75.0,0.0,129.5,11.0,26.31063,21.1,23.9
3.75,76.5,0.375,85.75,11.0,25.618847,21.1,23.9
3.5,78.0,0.75,0.0,11.0,24.60474,21.1,23.9
3.25,79.5,1.125,0.0,11.0,23.936943,21.1,23.9
3.0,81.0,1.5,0.0,11.0,23.479753,21.1,23.9
2.75,80.75,1.5,0.0,11.0,22.95057,21.1,23.9
