Site Outdoor Air Drybulb Temperature(Environment),Site Outdoor Air Relative Humidity(Environment),Site Wind Speed(Environment),Site Direct Solar Radiation Rate per Area(Environment),Zone People Occupant Count(SPACE1-1),Zone Air Temperature(SPACE1-1),Zone Thermostat Heating Setpoint Temperature(SPACE1-1),Zone Thermostat Cooling Setpoint Temperature(SPACE1-1)
-8.4,71.0,4.225,0.0,0.0,15.551892,12.8,40.0
-8.4,71.0,4.1,0.0,0.0,15.428622,12.8,40.0
-8.4,71.0,3.975,0.0,0.0,15.324316,12.8,40.0
-8.4,71.0,3.85,0.0,0.0,15.233654,12.8,40.0
-8.4,71.0,3.725,0.0,0.0,15.15442,12.8,40.0
-8.4,71.0,3.6,0.0,0.0,15.085181,12.8,40.0
-8.525,71.75,3.725,0.0,0.0,15.017881,12.8,40.0
-8.65,72.5,3.85,0.0,0.0,14.952971,12.8,40.0
-8.775,73.25,3.975,0.0,0.0,14.891785,12.8,40.0
-8.9,74.0,4.1,0.0,0.0,14.834344,12.8,40.0
-8.9,74.0,3.825,0.0,0.0,14.789397,12.8,40.0
-8.9,74.0,3.55,0.0,0.0,14.754421,12.8,40.0
-8.9,74.0,3.275,0.0,0.0,14.725818,12.8,40.0
-8.9,74.0,3.0,0.0,0.0,14.702421,12.8,40.0
-8.9,75.0,3.15,0.0,0.0,14.676552,12.8,40.0
-8.9,76.0,3.3,0.0,0.0,14.649037,12.8,40.0
-8.9,77.0,3.45,0.0,0.0,14.622103,12.8,40.0
-8.9,78.0,3.6,0.0,0.0,14.596414,12.8,40.0
-8.9,78.0,3.6,0.0,0.0,14.574446,12.8,40.0
-8.9,78.0,3.6,0.0,0.0,14.555377,12.8,40.0
-8.9,78.0,3.6,0.0,0.0,14.538247,12.8,40.0
-8.9,78.0,3.6,0.0,0.0,14.522688,12.8,40.0
-8.9,78.0,3.85,0.0,0.0,14.504669,12.8,40.0
-8.9,78.0,4.1,0.0,0.0,14.484936,12.8,40.0
-8.9,78.0,4.35,0.0,0.0,14.464792,12.8,40.0
-8.9,78.0,4.6,0.0,0.0,14.444695,12.8,40.0
-8.9,78.0,4.35,0.0,0.0,14.432437,12.8,40.0
-8.9,78.0,4.1,0.0,0.0,14.42617,12.8,40.0
-8.9,78.0,3.85,0.0,0.0,14.423192,12.8,40.0
-8.9,78.0,3.6,0.0,0.0,14.422668,12.8,40.0
-8.9,78.0,3.725,0.0,0.0,14.174215,12.8,40.0
-8.9,78.0,3.85,0.0,0.0,13.998873,12.8,40.0
-8.9,78.0,3.975,0.0,0.0,13.900337,12.8,40.0
-8.9,78.0,4.1,0.0,0.0,13.827495,12.8,40.0
-8.9,78.0,4.35,0.0,0.0,15.822975,21.1,23.9
-8.9,78.0,4.6,0.0,0.0,17.191046,21.1,23.9
-8.9,78.0,4.85,0.0,0.0,18.067144,21.1,23.9
-8.9,78.0,5.1,157.0,0.0,18.734526,21.1,23.9
-8.775,78.0,5.225,226.5,11.0,19.880074,21.1,23.9
-8.65,78.0,5.35,296.0,11.0,20.7882,21.1,23.9
-8.525,78.0,5.475,222.0,11.0,21.089586,21.1,23.9
-8.4,78.0,5.6,148.0,11.0,21.09987,21.1,23.9
-8.125,77.25,5.475,74.0,11.0,21.100378,21.1,23.9
-7.85,76.5,5.35,0.0,11.0,21.100456,21.1,23.9
-7.575,75.75,5.225,0.0,11.0,21.100397,21.1,23.9
-7.3,75.0,5.1,0.0,11.0,21.10032,21.1,23.9
-7.025,74.25,5.1,0.0,11.0,21.10024,21.1,23.9
-6.75,73.5,5.1,0.0,11.0,21.100174,21.1,23.9
-6.475,72.75,5.1,0.0,11.0,21.100119,21.1,23.9
-6.2,72.0,5.1,0.0,11.0,21.100067,21.1,23.9
-5.9,70.25,5.35,0.0,8.8,21.100061,21.1,23.9
-5.6,68.5,5.6,0.0,8.8,21.100029,21.1,23.9
-5.3,66.75,5.85,0.0,8.8,21.100021,21.1,23.9
-5.0,65.0,6.1,0.0,8.8,21.10001,21.1,23.9
-4.875,65.0,6.375,0.0,4.4,21.100124,21.1,23.9
-4.75,65.0,6.65,0.0,4.4,21.100132,21.1,23.9
-4.625,65.0,6.925,0.0,4.4,21.100119,21.1,23.9
-4.5,65.0,7.2,0.0,4.4,21.100136,21.1,23.9
-4.225,64.25,7.05,0.0,8.8,21.100016,21.1,23.9
-3.95,63.5,6.9,0.0,8.8,21.099972,21.1,23.9
-3.675,62.75,6.75,0.0,8.8,21.099947,21.1,23.9
-3.4,62.0,6.6,0.0,8.8,21.099932,21.1,23.9
-3.25,61.25,6.875,0.0,11.0,21.099905,21.1,23.9
-3.1,60.5,7.15,0.0,11.0,21.09989,21.1,23.9
-2.95,59.75,7.425,0.0,11.0,21.099892,21.1,23.9
-2.8,59.0,7.7,0.0,11.0,21.099905,21.1,23.9
-2.95,59.75,7.3,0.0,11.0,21.09996,21.1,23.9
-3.1,60.5,6.9,0.0,11.0,21.09999,21.1,23.9
