Site Outdoor Air Drybulb Temperature(Environment),Site Outdoor Air Relative Humidity(Environment),Site Wind Speed(Environment),Site Direct Solar Radiation Rate per Area(Environment),Zone People Occupant Count(SPACE1-1),Zone Air Temperature(SPACE1-1),Zone Thermostat Heating Setpoint Temperature(SPACE1-1),Zone Thermostat Cooling Setpoint Temperature(SPACE1-1)
9.0,32.0,3.6,0.0,0.0,17.19679,12.8,40.0
8.75,32.5,3.225,0.0,0.0,17.15137,12.8,40.0
8.5,33.0,2.85,0.0,0.0,17.11136,12.8,40.0
8.25,33.5,2.475,0.0,0.0,17.071758,12.8,40.0
8.0,34.0,2.1,0.0,0.0,17.033392,12.8,40.0
8.5,32.75,2.85,0.0,0.0,16.97257,12.8,40.0
9.0,31.5,3.6,0.0,0.0,16.970179,12.8,40.0
9.5,30.25,4.35,0.0,0.0,16.979645,12.8,40.0
10.0,29.0,5.1,0.0,0.0,16.986319,12.8,40.0
10.5,27.75,5.1,0.0,0.0,18.293907,21.1,23.9
11.0,26.5,5.1,167.0,0.0,18.987358,21.1,23.9
11.5,25.25,5.1,295.25,0.0,19.476507,21.1,23.9
12.0,24.0,5.1,423.5,0.0,19.857271,21.1,23.9
12.5,22.75,5.375,551.75,11.0,20.83063,21.1,23.9
13.0,21.5,5.65,680.0,11.0,21.097195,21.1,23.9
13.5,20.25,5.925,728.25,11.0,21.099892,21.1,23.9
14.0,19.0,6.2,776.5,11.0,21.29025,21.1,23.9
14.75,18.25,6.2,824.75,11.0,22.022543,21.1,23.9
15.5,17.5,6.2,873.0,11.0,22.79069,21.1,23.9
16.25,16.75,6.2,870.75,11.0,23.424753,21.1,23.9
17.0,16.0,6.2,868.5,11.0,23.887945,21.1,23.9
17.75,14.5,5.675,866.25,11.0,23.89888,21.1,23.9
18.5,13.0,5.15,864.0,11.0,24.04277,21.1,23.9
19.25,11.5,4.625,879.75,11.0,25.235409,21.1,23.9
20.0,10.0,4.1,895.5,11.0,26.219175,21.1,23.9
20.5,9.5,4.5,911.25,8.8,26.730083,21.1,23.9
21.0,9.0,4.9,927.0,8.8,27.250837,21.1,23.9
21.5,8.5,5.3,904.5,8.8,27.91296,21.1,23.9
22.0,8.0,5.7,882.0,8.8,28.658472,21.1,23.9
22.25,7.5,5.3,859.5,4.4,29.100212,21.1,23.9
22.5,7.0,4.9,837.0,4.4,29.746298,21.1,23.9
22.75,6.5,4.5,866.0,4.4,30.304876,21.1,23.9
23.0,6.0,4.1,895.0,4.4,31.034845,21.1,23.9
23.0,6.0,4.225,924.0,8.8,31.799038,21.1,23.9
23.0,6.0,4.35,953.0,8.8,32.554634,21.1,23.9
23.0,6.0,4.475,906.0,8.8,33.210682,21.1,23.9
23.0,6.0,4.6,859.0,8.8,33.72326,21.1,23.9
23.25,6.5,4.35,812.0,11.0,34.32214,21.1,23.9
23.5,7.0,4.1,765.0,11.0,34.97404,21.1,23.9
23.75,7.5,3.85,798.0,11.0,35.63434,21.1,23.9
24.0,8.0,3.6,831.0,11.0,36.362755,21.1,23.9
23.75,8.0,2.95,864.0,11.0,37.06096,21.1,23.9
23.5,8.0,2.3,897.0,11.0,37.76801,21.1,23.9
23.25,8.0,1.65,889.25,11.0,38.43011,21.1,23.9
23.0,8.0,1.0,881.5,11.0,39.083725,21.1,23.9
22.5,9.5,1.65,873.75,11.0,39.455635,21.1,23.9
22.0,11.0,2.3,866.0,11.0,39.92218,21.1,23.9
21.5,12.5,2.95,649.5,11.0,39.52088,21.1,23.9
21.0,14.0,3.6,433.0,11.0,38.51726,21.1,23.9
20.0,16.75,3.075,216.5,11.0,36.95388,21.1,23.9
19.0,19.5,2.55,0.0,11.0,32.456287,21.1,23.9
18.0,22.25,2.025,0.0,11.0,29.949387,21.1,23.9
17.0,25.0,1.5,0.0,11.0,28.204569,21.1,23.9
16.5,25.75,1.65,0.0,5.5,28.807186,12.8,40.0
16.0,26.5,1.8,0.0,5.5,28.868443,12.8,40.0
15.5,27.25,1.95,0.0,5.5,28.2048,12.8,40.0
15.0,28.0,2.1,0.0,5.5,27.426287,12.8,40.0
14.5,29.0,2.1,0.0,1.1,26.76931,12.8,40.0
14.0,30.0,2.1,0.0,1.1,26.095041,12.8,40.0
13.5,31.0,2.1,0.0,1.1,25.456089,12.8,40.0
13.0,32.0,2.1,0.0,1.1,25.02159,12.8,40.0
13.0,31.25,2.35,0.0,1.1,24.329512,12.8,40.0
13.0,30.5,2.6,0.0,1.1,23.579716,12.8,40.0
13.0,29.75,2.85,0.0,1.1,23.243984,12.8,40.0
13.0,29.0,3.1,0.0,1.1,22.681503,12.8,40.0
12.5,30.75,3.1,0.0,0.0,22.25864,12.8,40.0
12.0,32.5,3.1,0.0,0.0,21.84279,12.8,40.0
11.5,34.25,3.1,0.0,0.0,21.45169,12.8,40.0
11.0,36.0,3.1,0.0,0.0,21.083376,12.8,40.0
10.5,38.25,3.1,0.0,0.0,20.734602,12.8,40.0
10.0,40.5,3.1,0.0,0.0,20.403406,12.8,40.0
9.5,42.75,3.1,0.0,0.0,20.088331,12.8,40.0
9.0,45.0,3.1,0.0,0.0,19.787954,12.8,40.0
9.25,42.75,2.85,0.0,0.0,19.53646,12.8,40.0
9.5,40.5,2.6,0.0,0.0,19.326723,12.8,40.0
9.75,38.25,2.35,0.0,0.0,19.141615,12.8,40.0
10.0,36.0,2.1,0.0,0.0,18.977858,12.8,40.0
10.25,35.25,1.7,0.0,0.0,18.834326,12.8,40.0
10.5,34.5,1.3,0.0,0.0,18.709013,12.8,40.0
10.75,33.75,0.9,0.0,0.0,18.606531,12.8,40.0
11.0,33.0,0.5,0.0,0.0,18.519037,12.8,40.0
10.5,35.0,0.625,0.0,0.0,18.410892,12.8,40.0
10.0,37.0,0.75,0.0,0.0,18.285347,12.8,40.0
9.5,39.0,0.875,0.0,0.0,18.154863,12.8,40.0
9.0,41.0,1.0,0.0,0.0,18.024616,12.8,40.0
8.75,41.75,1.125,0.0,0.0,17.903877,12.8,40.0
8.5,42.5,1.25,0.0,0.0,17.792036,12.8,40.0
8.25,43.25,1.375,0.0,0.0,17.686169,12.8,40.0
8.0,44.0,1.5,0.0,0.0,17.585484,12.8,40.0
8.25,42.5,1.5,0.0,0.0,17.503153,12.8,40.0
8.5,41.0,1.5,0.0,0.0,17.439117,12.8,40.0
8.75,39.5,1.5,0.0,0.0,17.386505,12.8,40.0
9.0,38.0,1.5,0.0,0.0,17.342794,12.8,40.0
9.0,38.0,1.375,0.0,0.0,17.301308,12.8,40.0
9.0,38.0,1.25,0.0,0.0,17.2607,12.8,40.0
9.0,38.0,1.125,0.0,0.0,17.223494,12.8,40.0
9.0,38.0,1.0,0.0,0.0,17.188658,12.8,40.0
8.5,41.5,1.275,0.0,0.0,17.148026,12.8,40.0
8.0,45.0,1.55,0.0,0.0,17.09632,12.8,40.0
7.5,48.5,1.825,0.0,0.0,17.038807,12.8,40.0
7.0,52.0,2.1,0.0,0.0,16.983908,12.8,40.0
7.0,52.0,2.225,0.0,0.0,16.897144,12.8,40.0
7.0,52.0,2.35,0.0,0.0,16.865078,12.8,40.0
7.0,52.0,2.475,0.0,0.0,16.84246,12.8,40.0
7.0,52.0,2.6,0.0,0.0,16.813667,12.8,40.0
7.25,51.0,2.6,0.0,0.0,18.089546,21.1,23.9
7.5,50.0,2.6,169.0,0.0,18.743254,21.1,23.9
7.75,49.0,2.6,281.75,0.0,19.19623,21.1,23.9
8.0,48.0,2.6,394.5,0.0,19.543762,21.1,23.9
8.5,46.5,2.325,507.25,11.0,20.463575,21.1,23.9
9.0,45.0,2.05,620.0,11.0,21.062315,21.1,23.9
9.5,43.5,1.775,666.25,11.0,21.098969,21.1,23.9
10.0,42.0,1.5,712.5,11.0,21.099924,21.1,23.9
10.75,41.0,1.375,758.75,11.0,21.429152,21.1,23.9
11.5,40.0,1.25,805.0,11.0,21.948103,21.1,23.9
12.25,39.0,1.125,808.0,11.0,22.454191,21.1,23.9
13.0,38.0,1.0,811.0,11.0,23.11261,21.1,23.9
14.25,35.25,1.4,814.0,11.0,23.768227,21.1,23.9
15.5,32.5,1.8,817.0,11.0,23.894953,21.1,23.9
16.75,29.75,2.2,832.75,11.0,23.898634,21.1,23.9
18.0,27.0,2.6,848.5,11.0,24.119831,21.1,23.9
18.5,26.25,2.725,864.25,8.8,24.43584,21.1,23.9
19.0,25.5,2.85,880.0,8.8,24.823002,21.1,23.9
19.5,24.75,2.975,905.25,8.8,26.178867,21.1,23.9
20.0,24.0,3.1,930.5,8.8,27.058075,21.1,23.9
20.75,22.25,3.1,955.75,4.4,27.841362,21.1,23.9
21.5,20.5,3.1,981.0,4.4,28.719376,21.1,23.9
22.25,18.75,3.1,986.25,4.4,29.537373,21.1,23.9
23.0,17.0,3.1,991.5,4.4,30.396185,21.1,23.9
23.5,16.0,3.35,996.75,8.8,31.294147,21.1,23.9
24.0,15.0,3.6,1002.0,8.8,32.308147,21.1,23.9
24.5,14.0,3.85,948.75,8.8,33.05604,21.1,23.9
25.0,13.0,4.1,895.5,8.8,33.93463,21.1,23.9
25.0,13.0,3.85,842.25,11.0,34.623898,21.1,23.9
25.0,13.0,3.6,789.0,11.0,35.136944,21.1,23.9
25.0,13.0,3.35,797.25,11.0,35.789078,21.1,23.9
25.0,13.0,3.1,805.5,11.0,36.529884,21.1,23.9
24.75,13.0,3.6,813.75,11.0,37.02041,21.1,23.9
24.5,13.0,4.1,822.0,11.0,37.684776,21.1,23.9
24.25,13.0,4.6,777.75,11.0,38.127262,21.1,23.9
24.0,13.0,5.1,733.5,11.0,38.502296,21.1,23.9
23.75,14.0,4.6,689.25,11.0,38.69248,21.1,23.9
23.5,15.0,4.1,645.0,11.0,38.759155,21.1,23.9
23.25,16.0,3.6,509.5,11.0,38.414883,21.1,23.9
23.0,17.0,3.1,374.0,11.0,37.752796,21.1,23.9
22.0,18.75,2.575,238.5,11.0,36.654045,21.1,23.9
21.0,20.5,2.05,0.0,11.0,34.811718,21.1,23.9
20.0,22.25,1.525,0.0,11.0,33.71832,21.1,23.9
19.0,24.0,1.0,0.0,11.0,29.915003,21.1,23.9
19.0,24.0,1.275,0.0,5.5,30.032707,12.8,40.0
19.0,24.0,1.55,0.0,5.5,30.108784,12.8,40.0
19.0,24.0,1.825,0.0,5.5,29.485672,12.8,40.0
19.0,24.0,2.1,0.0,5.5,28.939054,12.8,40.0
18.0,26.25,2.1,0.0,1.1,28.11936,12.8,40.0
17.0,28.5,2.1,0.0,1.1,27.371574,12.8,40.0
16.0,30.75,2.1,0.0,1.1,26.652548,12.8,40.0
15.0,33.0,2.1,0.0,1.1,25.983263,12.8,40.0
14.25,34.75,2.475,0.0,1.1,25.16878,12.8,40.0
13.5,36.5,2.85,0.0,1.1,24.432125,12.8,40.0
